timestamp,packet_size,ttl,proto,csum,src_ip,dst_ip,src_port,dst_port,tcp_flag,type_icmp,code_icmp,csum_icmp,port_no,rx_bytes_ave,tx_bytes_ave,request_type,id,label
12:22.6,103,128,6,0,192.168.31.185,52.7.247.124,60835,8095,24,0,0,0,0,103,103,tcp,52.7.247.124192.168.31.185809560835,normal
12:22.8,60,241,6,18054,52.7.247.124,192.168.31.185,8095,60835,16,0,0,0,0,81.5,81.5,tcp,192.168.31.18552.7.247.124608358095,normal
12:26.0,244,128,6,0,192.168.31.185,8.8.4.4,61081,443,24,0,0,0,0,244,90.83333333,tcp,8.8.4.4192.168.31.18544361081,normal
12:26.1,93,128,6,0,192.168.31.185,8.8.4.4,61081,443,24,0,0,0,0,168.5,91.14285714,tcp,8.8.4.4192.168.31.18544361081,normal
12:26.1,244,128,6,0,192.168.31.185,8.8.4.4,61081,443,24,0,0,0,0,193.6666667,110.25,tcp,8.8.4.4192.168.31.18544361081,normal
12:26.1,60,123,6,24086,8.8.4.4,192.168.31.185,443,61081,16,0,0,0,0,104.6666667,160.25,tcp,192.168.31.1858.8.4.461081443,normal
12:26.1,60,123,6,24085,8.8.4.4,192.168.31.185,443,61081,16,0,0,0,0,100.2,140.2,tcp,192.168.31.1858.8.4.461081443,normal
12:26.1,60,123,6,24084,8.8.4.4,192.168.31.185,443,61081,16,0,0,0,0,96.54545455,126.8333333,tcp,192.168.31.1858.8.4.461081443,normal
12:26.1,93,123,6,24044,8.8.4.4,192.168.31.185,443,61081,24,0,0,0,0,96.25,122,tcp,192.168.31.1858.8.4.461081443,normal
12:26.1,170,123,6,23966,8.8.4.4,192.168.31.185,443,61081,24,0,0,0,0,101.9230769,128,tcp,192.168.31.1858.8.4.461081443,normal
12:26.1,553,123,6,23582,8.8.4.4,192.168.31.185,443,61081,24,0,0,0,0,134.1428571,175.2222222,tcp,192.168.31.1858.8.4.461081443,normal
12:26.1,54,128,6,0,192.168.31.185,8.8.4.4,61081,443,16,0,0,0,0,163.1,128.8,tcp,8.8.4.4192.168.31.18544361081,normal
12:26.1,85,123,6,24049,8.8.4.4,192.168.31.185,443,61081,24,0,0,0,0,126.0625,156,tcp,192.168.31.1858.8.4.461081443,normal
